time_increment,time_rank_x,time_rank_y
0+12,1,0
0+13,2,0
0+15,3,0
0+16,4,0
0+20,5,0
0+25,6,0
0+30,7,0
0+40,8,0
0+180,9,0
1+10,10,1
1+12,11,1
1+13,12,1
1+15,13,1
1+18,14,1
1+19,15,1
1+20,16,1
1+25,17,1
1+30,18,1
1+45,19,1
2+9,20,2
2+10,21,2
2+12,22,2
2+15,23,2
2+16,24,2
2+20,25,2
2+40,26,2
3+8,27,3
3+9,28,3
3+10,29,3
3+12,30,3
3+15,31,3
3+20,32,3
3+30,33,3
3+35,34,3
4+6,35,4
4+7,36,4
4+8,37,4
4+9,38,4
4+10,39,4
4+12,40,4
4+15,41,4
4+18,42,4
4+20,43,4
4+180,44,4
5+5,45,5
5+6,46,5
5+7,47,5
5+8,48,5
5+9,49,5
5+10,50,5
5+11,51,5
5+12,52,5
5+13,53,5
5+14,54,5
5+15,55,5
5+17,56,5
5+20,57,5
5+21,58,5
5+25,59,5
5+30,60,5
5+40,61,5
5+60,62,5
5+180,63,5
6+3,64,6
6+4,65,6
6+5,66,6
6+6,67,6
6+7,68,6
6+8,69,6
6+9,70,6
6+10,71,6
6+12,72,6
6+15,73,6
6+20,74,6
6+30,75,6
7+2,76,7
7+3,77,7
7+4,78,7
7+5,79,7
7+6,80,7
7+7,81,7
7+8,82,7
7+9,83,7
7+10,84,7
7+11,85,7
7+12,86,7
7+14,87,7
7+15,88,7
7+18,89,7
7+25,90,7
7+30,91,7
7+35,92,7
8+0,93,8
8+1,94,8
8+2,95,8
8+3,96,8
8+4,97,8
8+5,98,8
8+6,99,8
8+7,100,8
8+8,101,8
8+9,102,8
8+10,103,8
8+11,104,8
8+12,105,8
8+15,106,8
8+25,107,8
8+30,108,8
8+45,109,8
8+180,110,8
9+0,111,9
9+1,112,9
9+2,113,9
9+3,114,9
9+4,115,9
9+5,116,9
9+6,117,9
9+7,118,9
9+8,119,9
9+9,120,9
9+10,121,9
9+11,122,9
9+12,123,9
9+15,124,9
9+17,125,9
9+20,126,9
10+0,127,10
10+1,128,10
10+2,129,10
10+3,130,10
10+4,131,10
10+5,132,10
10+6,133,10
10+7,134,10
10+8,135,10
10+9,136,10
10+10,137,10
10+11,138,10
10+12,139,10
10+13,140,10
10+14,141,10
10+15,142,10
10+20,143,10
10+25,144,10
10+30,145,10
10+35,146,10
10+40,147,10
10+45,148,10
10+60,149,10
10+180,150,10
11+0,151,11
11+1,152,11
11+2,153,11
11+3,154,11
11+4,155,11
11+5,156,11
11+7,157,11
11+8,158,11
11+9,159,11
11+10,160,11
11+11,161,11
12+0,162,12
12+1,163,12
12+2,164,12
12+3,165,12
12+4,166,12
12+5,167,12
12+6,168,12
12+7,169,12
12+8,170,12
12+9,171,12
12+10,172,12
12+11,173,12
12+12,174,12
12+13,175,12
12+15,176,12
12+20,177,12
13+0,178,13
13+1,179,13
13+2,180,13
13+3,181,13
13+5,182,13
13+7,183,13
13+10,184,13
13+12,185,13
13+13,186,13
13+14,187,13
13+15,188,13
13+20,189,13
13+40,190,13
14+0,191,14
14+1,192,14
14+2,193,14
14+4,194,14
14+5,195,14
14+6,196,14
14+8,197,14
14+9,198,14
14+10,199,14
14+12,200,14
14+14,201,14
14+15,202,14
14+17,203,14
14+20,204,14
15+0,205,15
15+1,206,15
15+2,207,15
15+3,208,15
15+4,209,15
15+5,210,15
15+6,211,15
15+7,212,15
15+8,213,15
15+9,214,15
15+10,215,15
15+11,216,15
15+12,217,15
15+14,218,15
15+15,219,15
15+16,220,15
15+20,221,15
15+25,222,15
15+30,223,15
15+45,224,15
15+60,225,15
16+0,226,16
16+1,227,16
16+2,228,16
16+3,229,16
16+4,230,16
16+7,231,16
16+8,232,16
16+10,233,16
16+15,234,16
